Name;key
Sistema de Potência a Vapor e de Refrigeração;vapor
Sistema de Potência a Gás;gas
Primeira Lei aplicada a sistemas de potência, refrigeração e condicionamento de ar;primlei
Aplicações psicrométricas;psicrometricas
Equipamentos de refrigeração e ar condicionado;equipamentos
Bombas hidráulicas: características de funcionamento;bombas
Ventiladores: características de funcionamento;ventiladores
Trocadores de calor;trocadores
Transferência de calor por condução;conducao
Transferência de calor por convecção;conveccao
